time,area_h1,area_h2,area_h3,area_h4,area_h5
6850000,185032.20686103,15566.304791846,6913.2457420276,18544.16106249,23944.081542607
6875000,184936.50591417,15589.363172307,6927.5492957767,18571.981087069,23974.600530675
6900000,184840.82281469,15612.409394867,6941.8507721268,18599.8067307,24005.110287608
6925000,184745.20208155,15635.428572831,6956.1458325868,18627.629853608,24035.593659427
6950000,184649.67667362,15658.408143394,6970.4334126504,18655.445869773,24066.035900563
6975000,184554.25610508,15681.344191766,6984.7153213206,18683.253342647,24096.431039186
7000000,184458.92055227,15704.243474973,6998.9974697115,18711.054570816,24126.78393223
7025000,184363.62889805,15727.118900241,7013.2906592185,18738.855774629,24157.105767855
7050000,184268.34305956,15749.980331317,7027.6075275837,18766.664188687,24187.404892854
7075000,184173.05517955,15772.826285166,7041.9566837903,18794.48332358,24217.678527909
7100000,184077.80072828,15795.642156103,7056.3371219728,18822.308982036,24247.911011608
7125000,183982.65116781,15818.406272383,7070.7352788325,18850.127402413,24278.079878555
7150000,183887.68753139,15841.099799941,7085.1284130426,18877.918469875,24308.165785745
7175000,183792.96543157,15863.714323151,7099.4951747893,18905.66495169,24338.160118801
7200000,183698.4921543,15886.253168468,7113.8265919558,18933.361745959,24368.066339312
7225000,183604.22614693,15908.727348892,7128.1309941113,18961.019558624,24397.895951438
7250000,183510.09413581,15931.149695129,7142.4314433207,18988.662076126,24427.662649609
7275000,183416.02323037,15953.529327311,7156.7548882328,19016.315756335,24457.376797744
7300000,183321.98043085,15975.867549195,7171.1159646974,19043.994736874,24487.041318384
7325000,183227.98882121,15998.157782936,7185.5084450933,19071.693345341,24516.651605421
7350000,183134.10339981,16020.390038115,7199.9126673407,19099.393942826,24546.199951903
7375000,183040.37506806,16042.555314173,7214.3093997966,19127.080329216,24575.679888747
7400000,182946.83088465,16064.646709513,7228.6889871292,19154.746210314,24605.087208397
7425000,182853.46705983,16086.659594444,7243.0547333558,19182.398580092,24634.420032277
7450000,182760.24763596,16108.593580207,7257.4213029235,19210.056821521,24663.680659386
7475000,182667.11750864,16130.454652189,7271.805881871,19237.74438537,24692.87757193
7500000,182574.0252715,16152.254844047,7286.2174001231,19265.477500038,24722.024984287
7525000,182480.93393,16174.009112227,7300.6551603418,19293.262191331,24751.139606094
7550000,182387.82354559,16195.72946101,7315.1144039825,19321.097909785,24780.234679634
7575000,182294.69862496,16217.418386715,7329.5897873873,19348.979832421,24809.313368518
7600000,182201.58852331,16239.06669015,7344.0772375365,19376.900997494,24838.366551508
7625000,182108.52837657,16260.658483796,7358.5777145992,19404.857576952,24867.377848078
7650000,182015.53602604,16282.179690172,7373.0993394052,19432.85277653,24896.332167846
7675000,181922.61388594,16303.623061579,7387.6508289409,19460.891416778,24925.220806761
7700000,181829.76797782,16324.9879327,7402.2320367314,19488.970760487,24954.041292255
7725000,181737.00896402,16346.278402744,7416.8353687347,19517.081600865,24982.79566363
7750000,181644.34026998,16367.501258796,7431.4540772913,19545.215902922,25011.488491009
7775000,181551.75621121,16388.663421096,7446.0861042594,19573.369856273,25040.124407161
7800000,181459.24444714,16409.770644612,7460.7344014446,19601.543623978,25068.706882818
7825000,181366.78260523,16430.827907273,7475.4081075012,19629.742705489,25097.2386745
7850000,181274.33911371,16451.838999887,7490.1220817873,19657.978343914,25125.721460703
7875000,181181.89449109,16472.803486187,7504.8889660131,19686.260219762,25154.152836942
7900000,181089.47345224,16493.71345897,7519.7064531403,19714.583536571,25182.523099079
7925000,180997.14592814,16514.555369441,7534.5551723075,19742.926435673,25210.817094436
7950000,180904.9851791,16535.317297649,7549.4123603224,19771.263651133,25239.021511796
7975000,180813.02593253,16555.995412245,7564.2661026273,19799.581192188,25267.131360409
8000000,180721.2566072,16576.594603682,7579.1183886059,19827.879776807,25295.150623701
8025000,180629.63854525,16597.124345564,7593.9796597351,19856.16930642,25323.088143024
8050000,180538.12366886,16617.594997603,7608.8638870198,19884.463501786,25350.953944726
8075000,180446.65986413,16638.016687835,7623.7871601755,19912.778141027,25378.758146833
8100000,180355.20431964,16658.397223208,7638.7630319541,19941.126532042,25406.508893149
8125000,180263.75402801,16678.737377093,7653.7916900176,19969.509245106,25434.207659771
8150000,180172.35966434,16699.028828037,7668.8548140886,19997.909487824,25461.84720571
8175000,180081.09482718,16719.25947519,7683.92563916,20026.303169174,25489.416889296
8200000,179990.00648074,16739.422507253,7698.9848935534,20054.674395572,25516.911722875
8225000,179899.08764782,16759.521645675,7714.0294185648,20083.023704267,25544.337583672
8250000,179808.28640178,16779.568941496,7729.0699438047,20111.365756596,25571.708956325
8275000,179717.53622954,16799.578122139,7744.1226184383,20139.720825997,25599.042203879
8300000,179626.78008472,16819.55954099,7759.2022715239,20168.107682456,25626.350420313
8325000,179535.97666772,16839.519097329,7774.3206695399,20196.541329979,25653.642235433
8350000,179445.10390793,16859.458599962,7789.4845000762,20225.030938895,25680.922053137
8375000,179354.16717054,16879.376286663,7804.6905827998,20253.575516593,25708.1904434
8400000,179263.19711601,16899.268447586,7819.9252101558,20282.163579012,25735.445647229
8425000,179172.23494151,16919.130840516,7835.1702062769,20310.779119068,25762.684892629
8450000,179081.31884442,16938.958872273,7850.4096333521,20339.408144017,25789.904505933
8475000,178990.47115835,16958.749305151,7865.6345436992,20368.043409756,25817.101583043
8500000,178899.68360794,16978.504224627,7880.8464243263,20396.687783431,25844.27795967
8525000,178808.91397445,16998.232867321,7896.0572113512,20425.353869592,25871.442077285
8550000,178718.10263904,17017.948260315,7911.2846612494,20454.058750799,25898.605688596
8575000,178627.19654093,17037.661472469,7926.5463376744,20482.817452333,25925.778196593
8600000,178536.1681239,17057.377434812,7941.8542733533,20511.637596235,25952.962571696
8625000,178445.03053057,17077.092827283,7957.2090726133,20540.514233318,25980.153336216
8650000,178353.84146871,17096.796370344,7972.5969640798,20569.428249979,26007.336946885
8675000,178262.6818966,17116.473024802,7987.9955383992,20598.353466042,26034.496074151
8700000,178171.62201816,17136.110040723,8003.3844222763,20627.267802861,26061.615715981
8725000,178080.70131903,17155.700358829,8018.7521689344,20656.159501716,26088.686651489
