time,area_h1,area_h2,area_h3,area_h4,area_h5
950000,209718.21211405,10070.446972845,10070.446966948,10070.446972323,10070.446973832
975000,209705.16289625,10073.70927759,10073.709270792,10073.709276563,10073.709278799
1000000,209692.08224383,10076.979440941,10076.979433364,10076.979439468,10076.979442397
1025000,209678.97721593,10080.255698165,10080.255689848,10080.255696247,10080.255699804
1050000,209665.85163784,10083.537092984,10083.537083883,10083.537090583,10083.537094712
1075000,209652.7065949,10086.823354031,10086.823344151,10086.823351136,10086.823355781
1100000,209639.54081851,10090.114798471,10090.114787794,10090.114795064,10090.11480016
1125000,209626.35095322,10093.412265099,10093.412253647,10093.41226128,10093.41226675
1150000,209613.13175814,10096.717064071,10096.717052009,10096.71705994,10096.717065832
1175000,209599.87616505,10100.030962459,10100.030949928,10100.030958158,10100.030964401
1200000,209586.57540557,10103.356152552,10103.356139477,10103.356147915,10103.356154483
1225000,209573.21899642,10106.695255068,10106.69524142,10106.695250069,10106.695257021
1250000,209559.79484146,10110.051294057,10110.051279814,10110.051288653,10110.051296015
1275000,209546.28922922,10113.427697331,10113.427682612,10113.427691581,10113.427699258
1300000,209532.6871221,10116.828224276,10116.82820912,10116.828218261,10116.828226244
1325000,209518.97224453,10120.256943812,10120.256928244,10120.25693756,10120.256945848
1350000,209505.12746868,10123.718137851,10123.718121984,10123.718131476,10123.718140007
1375000,209491.13518079,10127.216209953,10127.21619363,10127.216203422,10127.216212207
1400000,209476.97757431,10130.75561165,10130.755595057,10130.755604997,10130.755613987
1425000,209462.63718074,10134.340710184,10134.340693257,10134.340703328,10134.340712484
1450000,209448.09723243,10137.975697354,10137.975680184,10137.97569035,10137.975699679
1475000,209433.34206396,10141.664489579,10141.664472131,10141.66448242,10141.664491909
1500000,209418.35754406,10145.410619707,10145.41060181,10145.41061238,10145.410622042
1525000,209403.13131468,10149.217177264,10149.217158842,10149.217169695,10149.217179516
1550000,209387.65314629,10153.086719689,10153.086700512,10153.086711767,10153.086721742
1575000,209371.91512999,10157.021223988,10157.021203952,10157.021215961,10157.021226104
1600000,209355.91187372,10161.022038152,10161.0220172,10161.022030314,10161.022040607
1625000,209339.64057944,10165.089861875,10165.089839957,10165.089854126,10165.089864601
1650000,209323.10111984,10169.224727034,10169.224704101,10169.224719227,10169.224729795
1675000,209306.29596504,10173.426016163,10173.425991946,10173.426008075,10173.426018776
1700000,209289.23013075,10177.692475138,10177.692449765,10177.692466755,10177.692477585
1725000,209271.91101481,10182.022254284,10182.022228099,10182.022245912,10182.022256896
1750000,209254.34805904,10186.412993326,10186.412966377,10186.4129851,10186.412996155
1775000,209236.55256653,10190.861866585,10190.861838841,10190.861858459,10190.861869586
1800000,209218.53738213,10195.365663015,10195.365634382,10195.365654624,10195.365665848
1825000,209200.31646993,10199.920891353,10199.92086191,10199.920882735,10199.920894065
1850000,209181.90461516,10204.523855149,10204.523824934,10204.523846667,10204.523858089
1875000,209163.31708132,10209.170738844,10209.17070783,10209.17073029,10209.170741715
1900000,209144.56932999,10213.857676898,10213.857645174,10213.857668214,10213.857679725
1925000,209125.67652627,10218.58087797,10218.580845693,10218.580869271,10218.580880797
1950000,209106.65348122,10223.336639352,10223.336606579,10223.336630663,10223.336642188
1975000,209087.51429323,10228.121436476,10228.121403225,10228.121427757,10228.121439314
2000000,209068.27220532,10232.931958506,10232.931924762,10232.931949917,10232.931961494
2025000,209048.93944775,10237.765147907,10237.765113672,10237.765139524,10237.765151146
2050000,209029.5271359,10242.618226134,10242.6181911,10242.618217587,10242.618229277
2075000,209010.04520926,10247.488708047,10247.488672089,10247.488699459,10247.488711145
2100000,208990.50241371,10252.374407153,10252.374370259,10252.37439859,10252.374410286
2125000,208970.90627714,10257.273441499,10257.273403968,10257.27343285,10257.273444538
2150000,208951.26314005,10262.184226002,10262.184187708,10262.184217213,10262.18422902
2175000,208931.5781338,10267.105477774,10267.105438878,10267.105468881,10267.105480669
2200000,208911.85540435,10272.036160377,10272.036120894,10272.036151261,10272.036163111
2225000,208892.09803407,10276.975503223,10276.975463083,10276.975493849,10276.975505771
2250000,208872.30816387,10281.922970992,10281.922930411,10281.922961357,10281.922973365
2275000,208852.48705149,10286.87824929,10286.878208316,10286.878239435,10286.878251469
2300000,208832.63517286,10291.841219113,10291.841177812,10291.841209056,10291.841221159
2325000,208812.75229477,10296.811938797,10296.811897216,10296.811928561,10296.811940655
2350000,208792.83749956,10301.790637758,10301.790595899,10301.790627359,10301.790639423
2375000,208772.88930041,10306.777687746,10306.777645584,10306.777677123,10306.777689136
2400000,208752.90572545,10311.773581662,10311.773539151,10311.773570857,10311.77358288
2425000,208732.88424675,10316.778951545,10316.778908695,10316.778940527,10316.778952486
2450000,208712.82196732,10321.794521611,10321.794478462,10321.794510353,10321.794522252
2475000,208692.71564256,10326.821103024,10326.821059568,10326.82109151,10326.821103336
2500000,208672.56161179,10331.859610942,10331.859567184,10331.859599162,10331.859610917
2525000,208652.35600078,10336.911013696,10336.910969796,10336.911002014,10336.911013708
2550000,208632.09462473,10341.976357594,10341.976313621,10341.976346161,10341.976357888
2575000,208611.77248015,10347.056894474,10347.056848995,10347.056882418,10347.056893965
2600000,208591.38568279,10352.153594107,10352.153547723,10352.153581992,10352.153593383
2625000,208570.92903276,10357.267755937,10357.267709638,10357.267745158,10357.2677565
2650000,208550.39743035,10362.40065603,10362.400609663,10362.400646319,10362.400657635
