Temperature (K),Enthalpy (J/mol)
1874.3999999999999,58545.97417567999
1877.8,58643.701055679994
1881.2,58741.427935680025
1884.6,58839.15481568
1888.0,58936.88169568003
1891.3999999999999,59034.60857568
1894.8,59132.335455680004
1898.2,59230.06233567998
1901.6,59327.78921568001
1905.0,59425.51609567998
1908.3999999999999,59523.24297568001
1911.8,59620.969855679985
1915.2,59718.69673567999
1918.6,59816.42361567999
1922.0,59914.15049567999
1925.3999999999999,60011.87737568002
1928.8,60109.604255679995
1932.2,60207.33113568
1935.6,60305.05801568
1939.0,60402.78489567997
1942.3999999999999,60500.511775679974
1945.8,60598.238655679976
1949.2,60695.96553568001
1952.6,60793.69241567998
1956.0,60891.41929567998
1959.3999999999999,60989.14617567998
1962.8,61086.873055679986
1966.2,61184.59993567999
1969.6,61282.32681567999
1973.0,61380.05369567999
1976.3999999999999,61477.78057567999
1979.8,61575.507455679995
1983.2,61673.23433568
1986.6,61770.96121568
1990.0,61868.68809568
1993.3999999999999,61966.41497568
1996.8,62064.141855679976
2000.2,62161.86873568001
2003.6,62259.59561567998
2007.0,62357.32249568001
2010.3999999999999,62455.049375679984
2013.8,62552.776255679986
2017.2,62650.50313567999
2020.6,62748.23001567999
2024.0,62845.95689567999
2027.3999999999999,62943.683775679994
2030.8,63041.410655679996
2034.2,63139.13753568
2037.6,63236.86441568
2041.0,63334.59129568
2044.3999999999999,63432.318175680004
2047.8,63530.045055680006
2051.2,63627.77193568001
2054.6,63725.49881567998
2058.0,63823.22569568001
2061.3999999999996,63920.952575679985
2064.8,64018.679455680016
2068.2,64116.40633567999
2071.6,64214.13321567999
2075.0,64311.86009567999
2078.3999999999996,64409.586975679995
2081.8,64507.313855680026
2085.2,64605.04073568
2088.6,64702.76761568
2092.0,64800.49449568
2095.3999999999996,64898.221375680005
2098.8,64995.948255680036
2102.2,65093.67513568001
2105.6,65191.40201568001
2109.0,65289.12889568001
2112.3999999999996,65386.855775679986
2115.8,65484.58265567999
2119.2,65582.30953567999
2122.6,65680.03641568002
2126.0,65777.76329568002
2129.3999999999996,65875.49017568
2132.8,65973.21705568
2136.2,66070.94393568
2139.6,66168.67081568
2143.0,66266.39769567997
2146.3999999999996,66364.12457568
2149.8,66461.85145567998
2153.2,66559.57833568001
2156.6,66657.30521567998
2160.0,66755.03209567998
2163.3999999999996,66852.75897567999
2166.8,66950.48585567999
2170.2,67048.21273567999
2173.6,67145.93961567999
2177.0,67243.66649568
2180.3999999999996,67341.39337568
2183.8,67439.12025568
2187.2,67536.84713567997
2190.6,67634.57401568
2194.0,67732.30089567997
2197.3999999999996,67830.02777568
2200.8,67927.75465568001
2204.2,68025.48153567998
2207.6,68123.20841567998
2211.0,68220.93529568001
2214.3999999999996,68318.66217567999
2217.8,68416.38905568002
2221.2,68514.11593567999
2224.6,68611.84281568
2228.0,68709.56969568
2231.3999999999996,68807.29657567997
