temperature,Points:0
904.08,0
904.09,8.00E-06
904.09,1.60E-05
904.1,2.40E-05
904.11,3.20E-05
904.12,4.00E-05
904.13,4.80E-05
904.14,5.60E-05
904.15,6.40E-05
904.16,7.20E-05
904.17,8.00E-05
904.18,8.80E-05
904.19,9.60E-05
904.2,0.000104
904.2,0.000112
904.22,0.00012
904.23,0.000128
904.25,0.000136
904.28,0.000144
904.31,0.000152
904.34,0.00016
904.37,0.000168
904.4,0.000176
904.42,0.000184
904.45,0.000192
904.48,0.0002
904.51,0.000208
904.54,0.000216
904.57,0.000224
904.6,0.000232
904.63,0.00024
904.66,0.000248
904.69,0.000256
904.73,0.000264
904.78,0.000272
904.82,0.00028
904.87,0.000288
904.92,0.000296
904.97,0.000304
905.02,0.000312
905.06,0.00032
905.11,0.000328
905.16,0.000336
905.21,0.000344
905.26,0.000352
905.31,0.00036
905.35,0.000368
905.4,0.000376
905.46,0.000384
905.51,0.000392
905.58,0.0004
905.64,0.000408
905.71,0.000416
905.78,0.000424
905.85,0.000432
905.91,0.00044
905.98,0.000448
906.05,0.000456
906.12,0.000464
906.18,0.000472
906.25,0.00048
906.32,0.000488
906.39,0.000496
906.46,0.000504
906.53,0.000512
906.6,0.00052
906.69,0.000528
906.77,0.000536
906.86,0.000544
906.95,0.000552
907.04,0.00056
907.13,0.000568
907.21,0.000576
907.3,0.000584
907.39,0.000592
907.48,0.0006
907.57,0.000608
907.66,0.000616
907.74,0.000624
907.83,0.000632
907.92,0.00064
908.02,0.000648
908.12,0.000656
908.23,0.000664
908.33,0.000672
908.44,0.00068
908.55,0.000688
908.66,0.000696
908.76,0.000704
908.87,0.000712
908.98,0.00072
909.09,0.000728
909.19,0.000736
909.3,0.000744
909.41,0.000752
909.52,0.00076
909.63,0.000768
909.75,0.000776
909.87,0.000784
910,0.000792
910.13,0.0008
910.26,0.000808
910.39,0.000816
910.52,0.000824
910.64,0.000832
910.77,0.00084
910.9,0.000848
911.03,0.000856
911.16,0.000864
911.29,0.000872
911.42,0.00088
911.55,0.000888
911.68,0.000896
911.82,0.000904
911.96,0.000912
912.11,0.00092
912.26,0.000928
912.41,0.000936
912.56,0.000944
912.71,0.000952
912.87,0.00096
913.02,0.000968
913.17,0.000976
913.32,0.000984
913.47,0.000992
913.62,0.001
913.77,0.001008
913.93,0.001016
914.08,0.001024
914.24,0.001032
914.41,0.00104
914.58,0.001048
914.75,0.001056
914.93,0.001064
915.11,0.001072
915.28,0.00108
915.46,0.001088
915.63,0.001096
915.81,0.001104
915.98,0.001112
916.16,0.00112
916.34,0.001128
916.51,0.001136
916.69,0.001144
916.87,0.001152
917.05,0.00116
917.24,0.001168
917.43,0.001176
917.63,0.001184
917.83,0.001192
918.03,0.0012
918.22,0.001208
918.42,0.001216
918.62,0.001224
918.82,0.001232
919.02,0.00124
919.21,0.001248
919.41,0.001256
919.61,0.001264
919.81,0.001272
920.01,0.00128
920.21,0.001288
920.43,0.001296
920.65,0.001304
920.87,0.001312
921.09,0.00132
921.32,0.001328
921.54,0.001336
921.77,0.001344
921.99,0.001352
922.21,0.00136
922.44,0.001368
922.66,0.001376
922.89,0.001384
923.11,0.001392
923.33,0.0014
923.56,0.001408
923.79,0.001416
924.03,0.001424
924.28,0.001432
924.53,0.00144
924.78,0.001448
925.03,0.001456
925.28,0.001464
925.53,0.001472
925.79,0.00148
926.04,0.001488
926.29,0.001496
926.54,0.001504
926.79,0.001512
927.05,0.00152
927.3,0.001528
927.55,0.001536
927.81,0.001544
928.07,0.001552
928.35,0.00156
928.63,0.001568
928.91,0.001576
929.19,0.001584
929.47,0.001592
929.76,0.0016
930.04,0.001608
930.32,0.001616
930.6,0.001624
930.89,0.001632
931.17,0.00164
931.45,0.001648
931.73,0.001656
932.02,0.001664
932.31,0.001672
932.61,0.00168
932.9,0.001688
933.21,0.001696
933.52,0.001704
933.84,0.001712
934.15,0.00172
934.46,0.001728
934.77,0.001736
935.09,0.001744
935.4,0.001752
935.71,0.00176
936.03,0.001768
936.34,0.001776
936.65,0.001784
936.97,0.001792
937.29,0.0018
937.61,0.001808
937.95,0.001816
938.3,0.001824
938.64,0.001832
938.99,0.00184
939.33,0.001848
939.68,0.001856
940.02,0.001864
940.37,0.001872
940.72,0.00188
941.06,0.001888
941.41,0.001896
941.76,0.001904
942.1,0.001912
942.45,0.00192
942.8,0.001928
943.16,0.001936
943.53,0.001944
943.91,0.001952
944.3,0.00196
944.68,0.001968
945.06,0.001976
945.45,0.001984
945.83,0.001992
946.21,0.002
