temperature,Points:0
912.55,0
912.56,8.00E-06
912.56,1.60E-05
912.57,2.40E-05
912.58,3.20E-05
912.58,4.00E-05
912.59,4.80E-05
912.6,5.60E-05
912.6,6.40E-05
912.61,7.20E-05
912.62,8.00E-05
912.62,8.80E-05
912.63,9.60E-05
912.64,0.000104
912.64,0.000112
912.65,0.00012
912.66,0.000128
912.68,0.000136
912.7,0.000144
912.72,0.000152
912.74,0.00016
912.76,0.000168
912.78,0.000176
912.8,0.000184
912.82,0.000192
912.85,0.0002
912.87,0.000208
912.89,0.000216
912.91,0.000224
912.93,0.000232
912.95,0.00024
912.97,0.000248
913,0.000256
913.03,0.000264
913.06,0.000272
913.09,0.00028
913.13,0.000288
913.16,0.000296
913.2,0.000304
913.23,0.000312
913.26,0.00032
913.3,0.000328
913.33,0.000336
913.37,0.000344
913.4,0.000352
913.44,0.00036
913.47,0.000368
913.51,0.000376
913.55,0.000384
913.59,0.000392
913.63,0.0004
913.68,0.000408
913.73,0.000416
913.78,0.000424
913.83,0.000432
913.88,0.00044
913.92,0.000448
913.97,0.000456
914.02,0.000464
914.07,0.000472
914.12,0.00048
914.17,0.000488
914.21,0.000496
914.26,0.000504
914.32,0.000512
914.37,0.00052
914.43,0.000528
914.49,0.000536
914.56,0.000544
914.62,0.000552
914.68,0.00056
914.74,0.000568
914.81,0.000576
914.87,0.000584
914.93,0.000592
915,0.0006
915.06,0.000608
915.12,0.000616
915.19,0.000624
915.25,0.000632
915.31,0.00064
915.38,0.000648
915.45,0.000656
915.53,0.000664
915.61,0.000672
915.68,0.00068
915.76,0.000688
915.84,0.000696
915.91,0.000704
915.99,0.000712
916.07,0.00072
916.14,0.000728
916.22,0.000736
916.3,0.000744
916.37,0.000752
916.45,0.00076
916.53,0.000768
916.61,0.000776
916.7,0.000784
916.79,0.000792
916.88,0.0008
916.97,0.000808
917.07,0.000816
917.16,0.000824
917.25,0.000832
917.34,0.00084
917.43,0.000848
917.52,0.000856
917.61,0.000864
917.71,0.000872
917.8,0.00088
