temperature,Points:0
976.89,0
976.93,8.00E-06
976.99,1.60E-05
977.05,2.40E-05
977.11,3.20E-05
977.17,4.00E-05
977.24,4.80E-05
977.3,5.60E-05
977.37,6.40E-05
977.43,7.20E-05
977.49,8.00E-05
977.56,8.80E-05
977.62,9.60E-05
977.69,0.000104
977.75,0.000112
977.82,0.00012
977.91,0.000128
978.08,0.000136
978.26,0.000144
978.47,0.000152
978.67,0.00016
978.87,0.000168
979.07,0.000176
979.28,0.000184
979.48,0.000192
979.68,0.0002
979.89,0.000208
980.09,0.000216
980.29,0.000224
980.49,0.000232
980.7,0.00024
980.93,0.000248
981.17,0.000256
981.45,0.000264
981.77,0.000272
982.1,0.00028
982.46,0.000288
982.81,0.000296
983.16,0.000304
983.51,0.000312
983.87,0.00032
984.22,0.000328
984.57,0.000336
984.93,0.000344
985.28,0.000352
985.63,0.00036
985.98,0.000368
986.34,0.000376
986.75,0.000384
987.17,0.000392
987.65,0.0004
988.16,0.000408
988.67,0.000416
989.19,0.000424
989.7,0.000432
990.21,0.00044
990.72,0.000448
991.23,0.000456
991.75,0.000464
992.26,0.000472
992.77,0.00048
993.28,0.000488
993.81,0.000496
994.35,0.000504
994.89,0.000512
995.51,0.00052
996.2,0.000528
996.89,0.000536
997.62,0.000544
998.36,0.000552
999.09,0.00056
999.82,0.000568
1000.6,0.000576
1001.3,0.000584
1002,0.000592
1002.8,0.0006
1003.5,0.000608
1004.2,0.000616
1005,0.000624
1005.7,0.000632
1006.4,0.00064
1007.3,0.000648
1008.2,0.000656
1009.1,0.000664
1010.1,0.000672
1011.1,0.00068
1012,0.000688
1013,0.000696
1014,0.000704
1015,0.000712
1016,0.00072
1016.9,0.000728
1017.9,0.000736
1018.9,0.000744
1019.9,0.000752
1020.9,0.00076
1021.9,0.000768
1023.1,0.000776
1024.3,0.000784
1025.6,0.000792
1026.9,0.0008
1028.3,0.000808
1029.7,0.000816
1031,0.000824
1032.4,0.000832
1033.7,0.00084
1035.1,0.000848
1036.4,0.000856
1037.8,0.000864
1039.2,0.000872
1040.5,0.00088
1041.9,0.000888
1043.4,0.000896
1044.9,0.000904
1046.5,0.000912
1048.2,0.00092
1050.2,0.000928
1052.1,0.000936
1054,0.000944
1055.9,0.000952
1057.8,0.00096
1059.7,0.000968
1061.7,0.000976
1063.6,0.000984
1065.5,0.000992
1067.4,0.001
1069.3,0.001008
1071.3,0.001016
1073.4,0.001024
1075.5,0.001032
1078.2,0.00104
1081,0.001048
1084.2,0.001056
1087.6,0.001064
1091,0.001072
1094.4,0.00108
1097.9,0.001088
1101.3,0.001096
1104.7,0.001104
1108.1,0.001112
1111.6,0.00112
1115,0.001128
1118.4,0.001136
1121.8,0.001144
1125.2,0.001152
1128.6,0.00116
1132.3,0.001168
1137.1,0.001176
1142.5,0.001184
1147.9,0.001192
1153.3,0.0012
1158.7,0.001208
1164.1,0.001216
1169.5,0.001224
1174.9,0.001232
1180.3,0.00124
1185.7,0.001248
1191.1,0.001256
1196.5,0.001264
1201,0.001272
1205.5,0.00128
1208.5,0.001288
1209.8,0.001296
1211,0.001304
1210.8,0.001312
1210.2,0.00132
1209.7,0.001328
1209.1,0.001336
1208.5,0.001344
1208,0.001352
1207.4,0.00136
1206.9,0.001368
1206.3,0.001376
1205.8,0.001384
1205.2,0.001392
1204.7,0.0014
1203.2,0.001408
1201.6,0.001416
1198.1,0.001424
1193.9,0.001432
1188.5,0.00144
1182.2,0.001448
1175.9,0.001456
1169.6,0.001464
1163.3,0.001472
1157,0.00148
1150.8,0.001488
1144.5,0.001496
1138.2,0.001504
1131.9,0.001512
1125.6,0.00152
1119.3,0.001528
1113.2,0.001536
1108.7,0.001544
1104.4,0.001552
1100.5,0.00156
1096.7,0.001568
1092.8,0.001576
1088.9,0.001584
1085,0.001592
1081.2,0.0016
1077.3,0.001608
1073.4,0.001616
1069.6,0.001624
1065.7,0.001632
1061.8,0.00164
1058,0.001648
1054.1,0.001656
1050.2,0.001664
1047,0.001672
1043.9,0.00168
1040.8,0.001688
1038,0.001696
1035.2,0.001704
1032.5,0.001712
1029.7,0.00172
1027,0.001728
1024.2,0.001736
1021.5,0.001744
1018.7,0.001752
1016,0.00176
1013.2,0.001768
1010.5,0.001776
1007.7,0.001784
1005.1,0.001792
1002.6,0.0018
1000.1,0.001808
997.88,0.001816
995.69,0.001824
993.51,0.001832
991.34,0.00184
989.17,0.001848
986.99,0.001856
984.82,0.001864
982.65,0.001872
980.47,0.00188
978.3,0.001888
976.13,0.001896
973.95,0.001904
971.78,0.001912
969.61,0.00192
967.48,0.001928
965.5,0.001936
963.52,0.001944
961.72,0.001952
959.9,0.00196
958.06,0.001968
956.23,0.001976
954.4,0.001984
952.58,0.001992
950.75,0.002
948.92,0.002008
947.09,0.002016
945.26,0.002024
943.43,0.002032
941.6,0.00204
939.77,0.002048
937.95,0.002056
936.22,0.002064
934.56,0.002072
932.91,0.00208
931.31,0.002088
929.7,0.002096
928.1,0.002104
926.5,0.002112
924.89,0.00212
923.29,0.002128
921.69,0.002136
920.09,0.002144
918.48,0.002152
916.88,0.00216
915.28,0.002168
913.68,0.002176
912.11,0.002184
910.54,0.002192
909.06,0.0022
907.59,0.002208
906.14,0.002216
904.7,0.002224
903.26,0.002232
901.83,0.00224
900.39,0.002248
898.96,0.002256
897.52,0.002264
896.09,0.002272
894.65,0.00228
893.22,0.002288
891.78,0.002296
890.34,0.002304
888.92,0.002312
887.55,0.00232
886.19,0.002328
884.84,0.002336
883.5,0.002344
882.18,0.002352
880.86,0.00236
879.53,0.002368
878.21,0.002376
876.89,0.002384
875.57,0.002392
874.24,0.0024
872.92,0.002408
871.6,0.002416
870.28,0.002424
868.95,0.002432
867.64,0.00244
866.38,0.002448
865.12,0.002456
863.86,0.002464
862.65,0.002472
861.43,0.00248
860.22,0.002488
859.01,0.002496
857.8,0.002504
856.59,0.002512
855.38,0.00252
854.17,0.002528
852.96,0.002536
851.74,0.002544
850.53,0.002552
849.32,0.00256
848.13,0.002568
846.94,0.002576
845.77,0.002584
844.63,0.002592
843.49,0.0026
842.37,0.002608
841.24,0.002616
840.12,0.002624
838.99,0.002632
837.87,0.00264
836.74,0.002648
835.62,0.002656
834.5,0.002664
833.37,0.002672
832.25,0.00268
831.12,0.002688
830,0.002696
828.9,0.002704
827.81,0.002712
826.71,0.00272
825.65,0.002728
824.59,0.002736
823.53,0.002744
822.47,0.002752
821.41,0.00276
820.36,0.002768
819.3,0.002776
818.24,0.002784
817.18,0.002792
816.12,0.0028
815.06,0.002808
814.01,0.002816
812.96,0.002824
811.91,0.002832
810.87,0.00284
809.87,0.002848
808.87,0.002856
807.87,0.002864
806.87,0.002872
805.87,0.00288
804.88,0.002888
803.88,0.002896
802.88,0.002904
801.88,0.002912
800.88,0.00292
799.88,0.002928
798.89,0.002936
797.89,0.002944
796.89,0.002952
795.89,0.00296
794.93,0.002968
793.97,0.002976
793.01,0.002984
792.05,0.002992
791.11,0.003
790.16,0.003008
789.22,0.003016
788.27,0.003024
787.33,0.003032
786.38,0.00304
785.43,0.003048
784.49,0.003056
783.54,0.003064
782.6,0.003072
781.65,0.00308
780.71,0.003088
779.79,0.003096
778.88,0.003104
777.96,0.003112
777.06,0.00312
776.16,0.003128
775.25,0.003136
774.35,0.003144
773.45,0.003152
772.55,0.00316
771.65,0.003168
770.75,0.003176
769.85,0.003184
768.95,0.003192
768.05,0.0032
767.15,0.003208
766.25,0.003216
765.36,0.003224
764.49,0.003232
763.62,0.00324
762.76,0.003248
761.91,0.003256
761.05,0.003264
760.19,0.003272
759.34,0.00328
758.48,0.003288
757.62,0.003296
756.76,0.003304
755.91,0.003312
755.05,0.00332
754.19,0.003328
753.34,0.003336
752.49,0.003344
751.65,0.003352
750.81,0.00336
749.97,0.003368
749.15,0.003376
748.33,0.003384
747.51,0.003392
746.69,0.0034
745.87,0.003408
745.05,0.003416
744.23,0.003424
743.41,0.003432
742.59,0.00344
741.77,0.003448
740.95,0.003456
740.13,0.003464
739.31,0.003472
738.5,0.00348
737.7,0.003488
736.9,0.003496
736.11,0.003504
735.33,0.003512
734.54,0.00352
733.75,0.003528
732.97,0.003536
732.18,0.003544
731.4,0.003552
730.61,0.00356
729.82,0.003568
729.04,0.003576
728.25,0.003584
727.47,0.003592
726.69,0.0036
725.9,0.003608
725.14,0.003616
724.38,0.003624
723.62,0.003632
722.87,0.00364
722.12,0.003648
721.36,0.003656
720.61,0.003664
719.86,0.003672
719.11,0.00368
718.36,0.003688
717.61,0.003696
716.85,0.003704
716.1,0.003712
715.35,0.00372
714.6,0.003728
713.86,0.003736
713.11,0.003744
712.39,0.003752
711.66,0.00376
710.93,0.003768
710.21,0.003776
709.49,0.003784
708.76,0.003792
708.04,0.0038
707.32,0.003808
706.6,0.003816
705.88,0.003824
705.15,0.003832
704.43,0.00384
703.71,0.003848
702.99,0.003856
702.27,0.003864
701.57,0.003872
700.87,0.00388
700.17,0.003888
699.47,0.003896
698.78,0.003904
698.09,0.003912
697.4,0.00392
696.7,0.003928
696.01,0.003936
695.32,0.003944
694.63,0.003952
693.94,0.00396
693.24,0.003968
692.55,0.003976
691.86,0.003984
691.17,0.003992
690.49,0.004
689.81,0.004008
689.14,0.004016
688.47,0.004024
687.81,0.004032
687.14,0.00404
686.48,0.004048
685.81,0.004056
685.14,0.004064
684.48,0.004072
683.81,0.00408
683.15,0.004088
682.48,0.004096
681.81,0.004104
681.15,0.004112
680.49,0.00412
679.84,0.004128
679.18,0.004136
678.54,0.004144
677.9,0.004152
677.26,0.00416
676.62,0.004168
675.98,0.004176
675.34,0.004184
674.7,0.004192
674.06,0.0042
673.42,0.004208
672.78,0.004216
672.14,0.004224
671.51,0.004232
670.87,0.00424
670.23,0.004248
669.6,0.004256
668.97,0.004264
668.36,0.004272
667.74,0.00428
667.12,0.004288
666.51,0.004296
665.9,0.004304
665.28,0.004312
664.67,0.00432
664.06,0.004328
663.44,0.004336
662.83,0.004344
662.21,0.004352
661.6,0.00436
660.99,0.004368
660.37,0.004376
659.77,0.004384
659.17,0.004392
658.58,0.0044
657.99,0.004408
657.4,0.004416
656.81,0.004424
656.22,0.004432
655.63,0.00444
655.05,0.004448
654.46,0.004456
653.87,0.004464
653.28,0.004472
652.69,0.00448
652.11,0.004488
651.52,0.004496
650.93,0.004504
650.35,0.004512
649.78,0.00452
649.2,0.004528
648.64,0.004536
648.07,0.004544
647.51,0.004552
646.94,0.00456
646.38,0.004568
645.82,0.004576
645.25,0.004584
644.69,0.004592
644.12,0.0046
643.56,0.004608
642.99,0.004616
642.43,0.004624
641.87,0.004632
641.31,0.00464
640.76,0.004648
640.21,0.004656
639.67,0.004664
639.13,0.004672
638.59,0.00468
638.05,0.004688
637.51,0.004696
636.97,0.004704
636.43,0.004712
635.89,0.00472
635.35,0.004728
634.81,0.004736
634.27,0.004744
633.73,0.004752
633.19,0.00476
632.66,0.004768
632.13,0.004776
631.61,0.004784
631.08,0.004792
630.57,0.0048
630.05,0.004808
629.54,0.004816
629.02,0.004824
628.5,0.004832
627.99,0.00484
627.47,0.004848
626.96,0.004856
626.44,0.004864
625.92,0.004872
625.41,0.00488
624.89,0.004888
624.39,0.004896
623.88,0.004904
623.37,0.004912
622.88,0.00492
622.39,0.004928
621.89,0.004936
621.4,0.004944
620.91,0.004952
620.41,0.00496
619.92,0.004968
619.43,0.004976
618.93,0.004984
618.44,0.004992
617.95,0.005
617.45,0.005008
616.96,0.005016
616.47,0.005024
615.98,0.005032
615.51,0.00504
615.03,0.005048
614.56,0.005056
614.09,0.005064
613.62,0.005072
613.15,0.00508
612.68,0.005088
612.21,0.005096
611.74,0.005104
611.27,0.005112
610.8,0.00512
610.33,0.005128
609.86,0.005136
609.39,0.005144
608.93,0.005152
608.47,0.00516
608.02,0.005168
607.56,0.005176
607.11,0.005184
606.66,0.005192
606.21,0.0052
605.76,0.005208
605.32,0.005216
604.87,0.005224
604.42,0.005232
603.97,0.00524
603.52,0.005248
603.07,0.005256
602.62,0.005264
602.18,0.005272
601.73,0.00528
601.29,0.005288
600.86,0.005296
600.43,0.005304
600,0.005312
599.57,0.00532
599.15,0.005328
598.72,0.005336
598.29,0.005344
597.87,0.005352
597.44,0.00536
597.02,0.005368
596.59,0.005376
596.17,0.005384
595.74,0.005392
595.32,0.0054
594.89,0.005408
594.48,0.005416
594.07,0.005424
593.66,0.005432
593.25,0.00544
592.85,0.005448
592.44,0.005456
592.04,0.005464
591.64,0.005472
591.23,0.00548
590.83,0.005488
590.43,0.005496
590.02,0.005504
589.62,0.005512
589.22,0.00552
588.81,0.005528
588.41,0.005536
588.02,0.005544
587.62,0.005552
587.23,0.00556
586.85,0.005568
586.47,0.005576
586.09,0.005584
585.71,0.005592
585.33,0.0056
584.94,0.005608
584.56,0.005616
584.18,0.005624
583.8,0.005632
583.42,0.00564
583.04,0.005648
582.66,0.005656
582.28,0.005664
581.9,0.005672
581.53,0.00568
581.17,0.005688
580.81,0.005696
580.45,0.005704
580.09,0.005712
579.73,0.00572
579.37,0.005728
579.01,0.005736
578.65,0.005744
578.29,0.005752
577.93,0.00576
577.57,0.005768
577.21,0.005776
576.85,0.005784
576.49,0.005792
576.13,0.0058
575.79,0.005808
575.44,0.005816
575.1,0.005824
574.76,0.005832
574.42,0.00584
574.08,0.005848
573.75,0.005856
573.41,0.005864
573.07,0.005872
572.73,0.00588
572.39,0.005888
572.05,0.005896
571.72,0.005904
571.38,0.005912
571.04,0.00592
570.71,0.005928
570.38,0.005936
570.05,0.005944
569.73,0.005952
569.42,0.00596
569.1,0.005968
568.78,0.005976
568.47,0.005984
568.15,0.005992
567.83,0.006
567.52,0.006008
567.2,0.006016
566.89,0.006024
566.57,0.006032
566.25,0.00604
565.94,0.006048
565.62,0.006056
565.31,0.006064
565.01,0.006072
564.71,0.00608
564.42,0.006088
564.12,0.006096
563.82,0.006104
563.53,0.006112
563.23,0.00612
562.94,0.006128
562.64,0.006136
562.35,0.006144
562.05,0.006152
561.76,0.00616
561.46,0.006168
561.17,0.006176
560.87,0.006184
560.59,0.006192
560.3,0.0062
560.02,0.006208
559.75,0.006216
559.47,0.006224
559.2,0.006232
558.92,0.00624
558.65,0.006248
558.38,0.006256
558.1,0.006264
557.83,0.006272
557.55,0.00628
557.28,0.006288
557,0.006296
556.73,0.006304
556.46,0.006312
556.19,0.00632
555.93,0.006328
555.67,0.006336
555.41,0.006344
555.16,0.006352
554.91,0.00636
554.65,0.006368
554.4,0.006376
554.15,0.006384
553.89,0.006392
553.64,0.0064
553.39,0.006408
553.13,0.006416
552.88,0.006424
552.63,0.006432
552.38,0.00644
552.13,0.006448
551.89,0.006456
551.65,0.006464
551.42,0.006472
551.18,0.00648
550.95,0.006488
550.72,0.006496
550.49,0.006504
550.25,0.006512
550.02,0.00652
549.79,0.006528
549.56,0.006536
549.32,0.006544
549.09,0.006552
548.86,0.00656
548.63,0.006568
548.4,0.006576
548.17,0.006584
547.96,0.006592
547.74,0.0066
547.53,0.006608
547.32,0.006616
547.11,0.006624
546.9,0.006632
546.68,0.00664
546.47,0.006648
546.26,0.006656
546.05,0.006664
545.84,0.006672
545.62,0.00668
545.41,0.006688
545.2,0.006696
544.99,0.006704
544.79,0.006712
544.59,0.00672
544.4,0.006728
544.21,0.006736
544.02,0.006744
543.83,0.006752
543.63,0.00676
543.44,0.006768
543.25,0.006776
543.06,0.006784
542.87,0.006792
542.68,0.0068
542.49,0.006808
542.3,0.006816
542.11,0.006824
541.92,0.006832
541.73,0.00684
541.56,0.006848
541.38,0.006856
541.21,0.006864
541.04,0.006872
540.87,0.00688
540.7,0.006888
540.53,0.006896
540.36,0.006904
540.19,0.006912
540.02,0.00692
539.85,0.006928
539.67,0.006936
539.5,0.006944
539.33,0.006952
539.16,0.00696
539,0.006968
538.84,0.006976
538.69,0.006984
538.54,0.006992
538.39,0.007
538.23,0.007008
538.08,0.007016
537.93,0.007024
537.78,0.007032
537.63,0.00704
537.48,0.007048
537.33,0.007056
537.18,0.007064
537.03,0.007072
536.87,0.00708
536.73,0.007088
536.59,0.007096
536.45,0.007104
536.31,0.007112
536.18,0.00712
536.05,0.007128
535.92,0.007136
535.79,0.007144
535.66,0.007152
535.53,0.00716
535.4,0.007168
535.27,0.007176
535.13,0.007184
535,0.007192
534.87,0.0072
534.74,0.007208
534.62,0.007216
534.49,0.007224
534.37,0.007232
534.26,0.00724
534.15,0.007248
534.03,0.007256
533.92,0.007264
533.81,0.007272
533.7,0.00728
533.59,0.007288
533.48,0.007296
533.37,0.007304
533.26,0.007312
533.15,0.00732
533.04,0.007328
532.93,0.007336
532.83,0.007344
532.72,0.007352
532.62,0.00736
532.53,0.007368
532.43,0.007376
532.34,0.007384
532.25,0.007392
532.16,0.0074
532.07,0.007408
531.98,0.007416
531.89,0.007424
531.8,0.007432
531.72,0.00744
531.63,0.007448
531.54,0.007456
531.45,0.007464
531.36,0.007472
531.27,0.00748
531.19,0.007488
531.12,0.007496
531.05,0.007504
530.98,0.007512
530.91,0.00752
530.84,0.007528
530.77,0.007536
530.7,0.007544
530.63,0.007552
530.56,0.00756
530.49,0.007568
530.42,0.007576
530.35,0.007584
530.28,0.007592
530.21,0.0076
530.15,0.007608
530.09,0.007616
530.04,0.007624
529.98,0.007632
529.93,0.00764
529.88,0.007648
529.83,0.007656
529.78,0.007664
529.73,0.007672
529.68,0.00768
529.62,0.007688
529.57,0.007696
529.52,0.007704
529.47,0.007712
529.42,0.00772
529.37,0.007728
529.33,0.007736
529.29,0.007744
529.25,0.007752
529.21,0.00776
529.18,0.007768
529.15,0.007776
529.12,0.007784
529.09,0.007792
529.06,0.0078
529.03,0.007808
529,0.007816
528.97,0.007824
528.94,0.007832
528.91,0.00784
528.88,0.007848
528.85,0.007856
528.82,0.007864
528.8,0.007872
528.78,0.00788
528.77,0.007888
528.76,0.007896
528.75,0.007904
528.74,0.007912
528.73,0.00792
528.72,0.007928
528.71,0.007936
528.7,0.007944
528.69,0.007952
528.68,0.00796
528.68,0.007968
528.67,0.007976
528.66,0.007984
528.65,0.007992
528.64,0.008
