temperature,Points:0
933.55,0
933.56,8.00E-06
933.58,1.60E-05
933.61,2.40E-05
933.63,3.20E-05
933.65,4.00E-05
933.68,4.80E-05
933.7,5.60E-05
933.72,6.40E-05
933.74,7.20E-05
933.77,8.00E-05
933.79,8.80E-05
933.81,9.60E-05
933.84,0.000104
933.86,0.000112
933.89,0.00012
933.92,0.000128
933.98,0.000136
934.05,0.000144
934.12,0.000152
934.19,0.00016
934.26,0.000168
934.34,0.000176
934.41,0.000184
934.48,0.000192
934.56,0.0002
934.63,0.000208
934.7,0.000216
934.77,0.000224
934.85,0.000232
934.92,0.00024
935,0.000248
935.08,0.000256
935.18,0.000264
935.3,0.000272
935.41,0.00028
935.53,0.000288
935.65,0.000296
935.78,0.000304
935.9,0.000312
936.02,0.00032
936.14,0.000328
936.26,0.000336
936.38,0.000344
936.51,0.000352
936.63,0.00036
936.75,0.000368
936.87,0.000376
937.01,0.000384
937.15,0.000392
937.31,0.0004
937.48,0.000408
937.65,0.000416
937.82,0.000424
937.99,0.000432
938.16,0.00044
938.32,0.000448
938.49,0.000456
938.66,0.000464
938.83,0.000472
939,0.00048
939.17,0.000488
939.34,0.000496
939.52,0.000504
939.69,0.000512
939.89,0.00052
940.1,0.000528
940.32,0.000536
940.54,0.000544
940.76,0.000552
940.99,0.00056
941.21,0.000568
941.44,0.000576
941.66,0.000584
941.88,0.000592
942.11,0.0006
942.33,0.000608
942.56,0.000616
942.78,0.000624
943,0.000632
943.23,0.00064
943.48,0.000648
943.73,0.000656
944,0.000664
944.27,0.000672
944.55,0.00068
944.82,0.000688
945.09,0.000696
945.37,0.000704
945.64,0.000712
945.92,0.00072
946.19,0.000728
946.46,0.000736
946.74,0.000744
947.01,0.000752
947.29,0.00076
947.58,0.000768
947.88,0.000776
948.2,0.000784
948.52,0.000792
948.85,0.0008
949.18,0.000808
949.52,0.000816
949.85,0.000824
950.18,0.000832
950.51,0.00084
950.84,0.000848
951.18,0.000856
951.51,0.000864
951.84,0.000872
952.17,0.00088
952.5,0.000888
952.85,0.000896
953.21,0.000904
953.57,0.000912
953.95,0.00092
954.34,0.000928
954.73,0.000936
955.12,0.000944
955.52,0.000952
955.91,0.00096
956.3,0.000968
956.69,0.000976
957.08,0.000984
957.47,0.000992
957.87,0.001
958.26,0.001008
958.65,0.001016
959.06,0.001024
959.47,0.001032
959.91,0.00104
960.36,0.001048
960.82,0.001056
961.28,0.001064
961.75,0.001072
962.21,0.00108
962.68,0.001088
963.14,0.001096
963.61,0.001104
964.07,0.001112
964.54,0.00112
965,0.001128
965.47,0.001136
965.93,0.001144
966.41,0.001152
966.89,0.00116
967.39,0.001168
967.92,0.001176
968.45,0.001184
968.98,0.001192
969.52,0.0012
970.05,0.001208
970.59,0.001216
971.12,0.001224
971.65,0.001232
972.19,0.00124
972.72,0.001248
973.25,0.001256
973.79,0.001264
974.33,0.001272
974.86,0.00128
975.42,0.001288
976.02,0.001296
976.61,0.001304
977.23,0.001312
977.85,0.00132
978.47,0.001328
979.09,0.001336
979.72,0.001344
980.34,0.001352
980.96,0.00136
981.58,0.001368
982.21,0.001376
982.83,0.001384
983.45,0.001392
984.07,0.0014
984.71,0.001408
985.36,0.001416
986.04,0.001424
986.74,0.001432
987.45,0.00144
988.18,0.001448
988.91,0.001456
989.64,0.001464
990.37,0.001472
991.1,0.00148
991.82,0.001488
992.55,0.001496
993.28,0.001504
994.01,0.001512
994.74,0.00152
995.46,0.001528
996.19,0.001536
996.95,0.001544
997.73,0.001552
998.57,0.00156
999.41,0.001568
1000.3,0.001576
1001.1,0.001584
1002,0.001592
1002.9,0.0016
1003.7,0.001608
1004.6,0.001616
1005.5,0.001624
1006.3,0.001632
1007.2,0.00164
1008.1,0.001648
1008.9,0.001656
1009.8,0.001664
1010.7,0.001672
1011.6,0.00168
1012.6,0.001688
1013.6,0.001696
1014.6,0.001704
1015.6,0.001712
1016.6,0.00172
1017.7,0.001728
1018.7,0.001736
1019.7,0.001744
1020.8,0.001752
1021.8,0.00176
1022.8,0.001768
1023.8,0.001776
1024.9,0.001784
1025.9,0.001792
1027,0.0018
1028.1,0.001808
1029.3,0.001816
1030.5,0.001824
1031.7,0.001832
1033,0.00184
1034.2,0.001848
1035.5,0.001856
1036.7,0.001864
1038,0.001872
1039.2,0.00188
1040.5,0.001888
1041.7,0.001896
1043,0.001904
1044.2,0.001912
1045.4,0.00192
1046.7,0.001928
1048.1,0.001936
1049.5,0.001944
1051.1,0.001952
1052.7,0.00196
1054.2,0.001968
1055.8,0.001976
1057.4,0.001984
1059,0.001992
1060.5,0.002
1062.1,0.002008
1063.7,0.002016
1065.3,0.002024
1066.8,0.002032
1068.4,0.00204
1070,0.002048
1071.6,0.002056
1073.3,0.002064
1075.2,0.002072
1077.2,0.00208
1079.3,0.002088
1081.5,0.002096
1083.6,0.002104
1085.8,0.002112
1087.9,0.00212
1090.1,0.002128
1092.2,0.002136
1094.4,0.002144
1096.5,0.002152
1098.7,0.00216
1100.9,0.002168
1103,0.002176
1105.2,0.002184
1107.5,0.002192
1110.3,0.0022
1113.2,0.002208
1116.2,0.002216
1119.8,0.002224
1123.4,0.002232
1126.9,0.00224
1130.5,0.002248
1134.1,0.002256
1137.6,0.002264
1141.2,0.002272
1144.8,0.00228
1148.3,0.002288
1151.9,0.002296
1155.5,0.002304
1159,0.002312
1162.8,0.00232
1166.8,0.002328
1170.7,0.002336
1175.2,0.002344
1180.2,0.002352
1185.1,0.00236
1190.1,0.002368
