Temperature (K),Enthalpy (J/mol)
1119.6,10400.389750720002
1123.0,10520.503590719774
1126.4,10640.617430719547
1129.8,10760.731270719785
1133.2,10880.845110720024
1136.6,11000.958950719796
1140.0,11121.072790719569
1143.4,11241.186630719341
1146.8,11361.30047071958
1150.2,11481.414310719818
1153.6,11601.52815071959
1157.0,11721.641990719829
1160.4,11841.755830720067
1163.8,11961.86967071984
1167.2,12081.983510719612
1170.6,12202.097350719385
1174.0,12322.211190719623
1177.4,12442.325030719861
1180.8,12562.438870719634
1184.2,12682.552710719872
1187.6,12802.666550719645
1191.0,12922.780390719883
1194.4,13042.894230719656
1197.8,13163.008070719428
1201.2,13283.121910719667
1204.6,13403.235750719905
1208.0,13523.349590719678
1211.4,13643.46343071945
1214.8,13763.577270720154
1218.2,13883.691110719927
1221.6,14003.8049507197
1225.0,14123.918790719472
1228.4,14244.032630719244
1231.8,14364.146470719948
1235.2,14484.260310719721
1238.6,14604.374150719494
1242.0,14724.487990719732
1245.4,14844.601830719505
1248.8,14964.715670719743
1252.2,15084.829510719515
1255.6,15204.94335072022
1259.0,15325.057190719992
1262.4,15445.171030719765
1265.8,15565.284870719537
1269.2,15685.39871071931
1272.6,15805.512550720014
1276.0,15925.626390719786
1279.4,16045.740230719559
1282.8,16165.854070719797
1286.2,16285.96791071957
1289.6,16406.081750719808
1293.0,16526.19559071958
1296.4,16646.30943071982
1299.8,16766.42327071959
1303.2,16886.53711071983
1306.6,17006.650950719602
1310.0,17126.764790719375
1313.4,17246.87863072008
1316.8,17366.99247071985
1320.1999999999998,17487.106310719624
1323.6,17607.220150719397
1327.0,17727.3339907201
1330.4,17847.447830719873
1333.8,17967.561670719646
1337.1999999999998,18087.675510719884
1340.6,18207.789350719657
1344.0,18327.903190719895
1347.4,18448.017030719668
1350.8,18568.13087071944
1354.1999999999998,18688.24471071968
1357.6,18808.35855071945
1361.0,18928.47239071969
1364.4,19048.586230719462
1367.8,19168.700070720166
1371.1999999999998,19288.81391071994
1374.6,19408.92775071971
1378.0,19529.041590719484
1381.4,19649.155430719256
1384.8,19769.26927071996
1388.1999999999998,19889.383110719733
1391.6,20009.49695071997
1395.0,20129.610790719744
1398.4,20249.724630719516
1401.8,20369.838470719755
1405.1999999999998,20489.952310719527
1408.6,20610.066150719766
1412.0,20730.17999071954
1415.4,20850.293830719776
1418.8,20970.40767071955
1422.1999999999998,21090.52151071932
1425.6,21210.635350720026
1429.0,21330.7491907198
1432.4,21450.86303071957
1435.8,21570.97687071981
1439.1999999999998,21691.09071071958
1442.6,21811.20455071982
1446.0,21931.318390719593
1449.4,22051.43223071983
1452.8,22171.546070719603
1456.1999999999998,22291.65991071984
1459.6,22411.773750719614
1463.0,22531.887590719387
1466.4,22652.001430719625
1469.8,22772.115270719398
1473.1999999999998,22892.229110719636
1476.6,23012.34295071941
1480.0,23132.456790720113
1483.4,23252.570630719885
1486.8,23372.684470719658
1490.1999999999998,23492.798310719896
1493.6,23612.91215071967
1497.0,23733.025990719907
1500.4,23853.13983071968
1503.8,23973.253670719918
1507.1999999999998,24093.36751071969
1510.6,24213.481350719463
1514.0,24333.5951907197
1517.4,24453.709030719474
1520.8,24573.822870719712
1524.1999999999998,24693.93671071995
1527.6,24814.050550719723
1531.0,24934.164390719496
1534.4,25054.27823071927
1537.8,25174.392070719972
1541.1999999999998,25294.505910719745
1544.6,25414.619750719983
1548.0,25534.733590719756
1551.4,25654.847430719994
1554.8,25774.961270719767
1558.1999999999998,25895.07511071954
1561.6,26015.188950719777
1565.0,26135.30279071955
1568.4,26255.41663071979
1571.8,26375.53047071956
1575.1999999999998,26495.644310719334
1578.6,26615.758150719572
1582.0,26735.871990719344
1585.4,26855.985830719583
1588.8,26976.099670719355
1592.1999999999998,27096.213510719594
1595.6,27216.327350719832
1599.0,27336.441190719604
1602.4,27456.555030719843
1605.8,27576.668870719615
1609.1999999999998,27696.782710719854
1612.6,27816.896550719626
1616.0,27937.010390719865
1619.4,28057.124230719637
1622.8,28177.23807071941
1626.1999999999998,28297.351910719648
1629.6,28417.46575071942
1633.0,28537.57959071966
1636.4,28657.69343071943
1639.8,28777.80727071967
1643.1999999999998,28897.921110719908
1646.6,29018.03495071968
1650.0,29138.14879071992
1653.4,29258.26263071969
1656.8,29378.37647071993
1660.1999999999998,29498.490310719702
1663.6,29618.604150719475
1667.0,29738.717990719713
1670.4,29858.831830719486
1673.8,29978.945670719724
1677.1999999999998,30099.059510719497
1680.6,30219.173350719735
1684.0,30339.287190719508
1687.4,30459.40103071928
1690.8,30579.51487071952
1694.1999999999998,30699.628710719757
1697.6,30819.742550719995
1701.0,30939.856390719768
1704.4,31059.970230720006
1707.8,31180.08407071978
1711.1999999999998,31300.19791071955
1714.6,31420.31175071979
1718.0,31540.425590719562
1721.4,31660.5394307198
1724.8,31780.653270719573
1728.1999999999998,31900.767110719346
1731.6,32020.880950719584
1735.0,32140.994790719356
1738.4,32261.108630719595
1741.8,32381.222470719367
1745.1999999999998,32501.33631072007
1748.6,32621.450150719844
1752.0,32741.563990719616
1755.4,32861.67783071939
1758.8,32981.79167071963
1762.1999999999998,33101.905510719866
1765.6,33222.01935071964
1769.0,33342.13319071988
1772.4,33462.24703071965
1775.8,33582.36087071942
1779.1999999999998,33702.47471071966
1782.6,33822.58855071943
1786.0,33942.70239071967
1789.4,34062.81623071944
1792.8,34182.93007071968
1796.1999999999998,34303.043910719454
1799.6,34423.15775071923
1803.0,34543.27159071993
1806.4,34663.3854307197
1809.8,34783.49927071994
1813.1999999999998,34903.613110719714
1816.6,35023.72695071949
1820.0,35143.840790719725
1823.4,35263.9546307195
1826.8,35384.068470719736
1830.2,35504.18231071951
1833.6,35624.29615071975
1837.0,35744.40999071952
1840.3999999999999,35864.52383071929
1843.8,35984.63767071953
1847.2,36104.7515107193
1850.6,36224.86535071954
1854.0,36344.979190719314
1857.3999999999999,36465.09303072002
1860.8,36585.20687071979
1864.2,36705.32071071956
1867.6,36825.4345507198
1871.0,36945.548390719574
1874.3999999999999,37065.66223071981
1877.8,37185.776070719585
1881.2,37305.88991071982
1884.6,37426.003750719596
1888.0,37546.11759071937
1891.3999999999999,37666.23143071961
1894.8,37786.34527071938
1898.2,37906.45911071962
1901.6,38026.57295071939
1905.0,38146.68679071963
1908.3999999999999,38266.80063071987
1911.8,38386.91447071964
1915.2,38507.02831072174
1918.6,58973.10704818461
1922.0,59093.22089071991
1925.3999999999999,59213.33473071968
1928.8,59333.448570719454
1932.2,59453.56241071969
1935.6,59573.676250719465
1939.0,59693.7900907197
1942.3999999999999,59813.903930719476
1945.8,59934.017770719714
1949.2,60054.13161071949
1952.6,60174.24545071926
1956.0,60294.3592907195
1959.3999999999999,60414.473130719736
1962.8,60534.586970719974
1966.2,60654.70081071975
1969.6,60774.814650719985
1973.0,60894.92849071976
1976.3999999999999,61015.04233071953
1979.8,61135.15617071977
1983.2,61255.27001071954
1986.6,61375.38385071978
1990.0,61495.49769071955
1993.3999999999999,61615.611530719325
1996.8,61735.72537071956
2000.2,61855.839210719336
2003.6,61975.953050719574
2007.0,62096.06689071935
2010.3999999999999,62216.18073072005
2013.8,62336.29457071982
2017.2,62456.408410719596
2020.6,62576.522250719834
2024.0,62696.63609071961
2027.3999999999999,62816.749930719845
2030.8,62936.86377071962
2034.2,63056.977610719856
2037.6,63177.09145071963
2041.0,63297.2052907194
2044.3999999999999,63417.31913071964
2047.8,63537.43297071941
2051.2,63657.54681071965
2054.6,63777.66065071942
2058.0,63897.77449071966
2061.3999999999996,64017.8883307199
2064.8,64138.00217071967
2068.2,64258.11601071991
2071.6,64378.22985071968
2075.0,64498.34369071992
2078.3999999999996,64618.457530719694
2081.8,64738.57137071993
2085.2,64858.685210719705
2088.6,64978.79905071948
2092.0,65098.912890719716
2095.3999999999996,65219.02673071949
2098.8,65339.14057071973
2102.2,65459.2544107195
2105.6,65579.36825071927
2109.0,65699.48209071951
2112.3999999999996,65819.59593071975
2115.8,65939.70977071952
2119.2,66059.8236107193
2122.6,66179.93745072
2126.0,66300.05129071977
2129.3999999999996,66420.16513071954
2132.8,66540.27897071978
2136.2,66660.39281071955
2139.6,66780.50665071979
2143.0,66900.62049071956
2146.3999999999996,67020.73433071934
2149.8,67140.84817071958
2153.2,67260.96201071935
2156.6,67381.07585071959
2160.0,67501.18969071936
2163.3999999999996,67621.30353071913
2166.8,67741.41737071937
2170.2,67861.53121071961
2173.6,67981.64505071938
2177.0,68101.75889071915
2180.3999999999996,68221.87273071986
2183.8,68341.98657071963
2187.2,68462.10041071987
2190.6,68582.21425071964
2194.0,68702.32809071988
2197.3999999999996,68822.44193071965
2200.8,68942.55577071989
2204.2,69062.66961071966
2207.6,69182.78345071943
2211.0,69302.89729071967
2214.3999999999996,69423.01113071945
2217.8,69543.12497071968
2221.2,69663.23881071992
2224.6,69783.3526507197
2228.0,69903.46649071947
2231.3999999999996,70023.5803307197
2234.8,70143.69417071994
2238.2,70263.80801071972
2241.6,70383.92185071949
2245.0,70504.03569071973
2248.3999999999996,70624.1495307195
2251.8,70744.26337071974
2255.2,70864.37721071951
2258.6,70984.49105071975
2262.0,71104.60489071952
2265.3999999999996,71224.71873071976
2268.8,71344.83257071953
2272.2,71464.9464107193
2275.6,71585.06025072001
2279.0,71705.17409071978
2282.3999999999996,71825.28793071955
2285.8,71945.40177071933
2289.2,72065.51561071957
2292.6,72185.6294507198
2296.0,72305.74329071958
2299.3999999999996,72425.85713071935
2302.8,72545.97097071959
2306.2,72666.08481071936
2309.6,72786.1986507196
2313.0,72906.31249071937
